,,Dates (Ma),,,,,,Composition,,,,,Isotopic Ratios,,,,,,,,,
,,206Pb/,,,,207Pb/,,,,,,,,,,,,,,,,
,,238U,+/-2sigma,207Pb/,+/-2sigma,206Pb,+/-2sigma,Pb*,Pbc,Pb*/,Th/,Th/U,206Pb/,208Pb/,206Pb/,,207Pb/,,207Pb/,,Corr.,
Sample ID,Included?,<Th> a,abs ,235U b,abs ,<Th> a,abs ,(pg) c,(pg) d,Pbc e,U f,(magma) g,204Pb h,206Pb i,238U i,+/-2sigma % ,235U i,+/-2sigma % ,206Pb i,+/-2sigma % ,coef. ,
,Included?,,,,,,,,,,,,,,,,,,,,,
z1      ,x,65.7329849,0.25268332,62.9403677,4.76233871,-42.018606,185.1425044,1.890577957,0.558654036,3.38416593,0.68829329,2.0852795,216.320534,0.21996282,0.01023766,0.3867281,0.06394832,7.803361807,0.04532323,7.617894092,0.49848849,
z2      ,x,66.1260522,0.06936751,65.8509206,1.15460674,55.8647926,42.23004281,1.720419799,0.127805357,13.4612495,0.49294767,1.49331865,845.002983,0.15753049,0.01029926,0.09935761,0.06700246,1.81083484,0.04720381,1.7693918,0.436860691,
z3      ,x,65.9438129,0.15991848,65.5859399,3.74934482,52.548308,137.9379181,3.902881371,0.84899622,4.59705388,1.09603308,3.32122053,261.617123,0.35026203,0.0102707,0.24386503,0.06672405,5.903304486,0.04713839,5.778782382,0.525524776,
z4      ,x,66.0505631,0.0894499,66.3945645,1.250477,78.8091033,45.05897674,2.089675348,0.140021192,14.9239934,1.13821781,3.44911777,799.702748,0.3637404,0.01028743,0.13542948,0.0675739,1.9456503,0.04766115,1.89671762,0.389587231,
z5      ,x,65.8546635,0.04313383,65.7063855,0.73934461,60.3097704,27.14579314,4.241287245,0.172868589,24.5347478,1.13069861,3.42632032,1305.26923,0.36134243,0.01025673,0.06400825,0.06685059,1.1620247,0.04729212,1.13836621,0.386355226,
z6      ,,65.7813486,1.05915857,57.0952727,26.37605738,-293.76812,1191.06489,1.866874446,3.197891355,0.58378295,0.64326715,1.9488257,53.207127,0.2055728,0.01024524,1.62541997,0.05784125,47.50756411,0.04096453,46.65000393,0.539931374,
z7      ,x,66.0296357,0.09152778,66.394652,1.88131609,79.568717,68.10917881,1.70716726,0.175091937,9.75011921,1.1494429,3.48315124,527.593122,0.36732814,0.01028415,0.13875558,0.06757399,2.927185832,0.04767641,2.867712735,0.446675462,
z8      ,x,65.8435214,0.03976934,65.8572394,0.49735991,66.3556921,18.0334612,5.31466012,0.1420065,37.4254709,1.20755692,3.65935371,1947.27245,0.38590469,0.01025498,0.05895079,0.0670091,0.77996514,0.04741233,0.75663848,0.416182501,
z9      ,,72.520703,0.06076873,78.0939705,0.60637004,252.151128,18.08539192,4.188959594,0.143251141,29.2420678,0.57511389,1.74233908,1769.46217,0.18370801,0.01130196,0.07948552,0.07994579,0.80670394,0.05132564,0.78483344,0.312520287,
z10     ,x,65.9295556,0.05439887,65.8190449,0.72216111,61.8032811,26.32613138,4.738943115,0.190860415,24.8293661,1.03056811,3.12275143,1351.17884,0.32934155,0.01026847,0.08123127,0.06696897,1.13313689,0.04732171,1.10422436,0.381542576,
z11     ,x,66.2246015,0.07800507,66.3943862,0.68863131,72.5172902,24.70678397,3.255308998,0.116493397,27.9441504,0.5764116,1.74623021,1696.23849,0.18420166,0.01031471,0.11448477,0.06757371,1.07146249,0.04753497,1.03788643,0.337840266,
z12     ,x,65.7610649,0.09824227,64.5084111,2.0107698,18.2790751,75.51232147,1.967737409,0.223100595,8.81995589,1.10810986,3.35783462,483.802092,0.35412596,0.01024206,0.1496464,0.06559263,3.217129764,0.04646866,3.142979681,0.511961759,
z13     ,x,66.1286809,0.36556447,64.6079462,3.93537028,8.63342414,143.3287371,4.5652642,0.795547959,5.73851538,0.72950595,2.21018443,350.159243,0.23312701,0.01029968,0.55628363,0.0656971,6.28699762,0.04628232,5.954288193,0.626358614,
z14     ,x,65.7770787,0.08167301,65.1386297,0.87736505,41.7459758,32.10039692,2.761003315,0.118121043,23.3743561,1.0577017,3.20501008,1265.53334,0.33801631,0.01024457,0.12384296,0.06625422,1.39058527,0.04692586,1.34159904,0.43007258,
,,,,,,,,,,,,,,,,,,,,,,
"RBCV-A (N 22.85269¡, E 79.77158¡, 547m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,x,65.51719855,0.20199134,64.33191442,4.607113248,20.45637419,173.5358187,0.84640101,0.235193696,3.598740205,0.786290974,2.3822854,223.5515739,0.251284453,0.010203845,0.310137758,0.065407426,7.390735095,0.046511169,7.225899752,0.54631278,
z2      ,,64.93787672,0.363102012,60.29883989,5.345467242,-120.2553928,217.1598235,0.673668169,0.171816744,3.920852829,0.629098244,1.905881082,251.4497231,0.201056652,0.010113064,0.563238419,0.061184049,9.130787974,0.043898482,8.801066459,0.605572526,
z3      ,x,65.66927222,0.152430923,65.90668477,3.098500246,74.53472534,112.9313202,1.396921791,0.282037762,4.95296014,0.561959922,1.702433563,317.0524883,0.179590361,0.010227677,0.232007729,0.067061062,4.855572794,0.047575949,4.750018712,0.473431885,
z8      ,x,65.37366631,0.152114561,63.30528541,3.306931923,-14.21780619,127.472871,1.058683952,0.219301719,4.827522369,0.712021467,2.157188864,298.8472917,0.227551539,0.010181353,0.233330574,0.064330763,5.388318451,0.045846615,5.272888377,0.51063483,
z9      ,x,65.41392405,0.075328309,64.40525812,1.559827298,27.08285811,58.67064492,2.982529688,0.265014828,11.25419927,1.014034072,3.072625767,625.2368183,0.324069415,0.010187661,0.114653421,0.065484386,2.499516078,0.046639872,2.445919211,0.483531609,
z11     ,x,65.53951391,0.1299492,65.18018394,2.930309605,52.00759132,108.2723945,1.189608153,0.200732646,5.926331266,1.032500729,3.128609264,336.5464172,0.329968159,0.010207342,0.199090611,0.066297859,4.641545706,0.047128035,4.535412868,0.547872282,
,,,,,,,,,,,,,,,,,,,,,,
"RBCV-B (N 22.85269¡, E 79.77158¡, 547m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,x,65.34207883,0.121514056,64.02015951,2.41123729,14.87593638,91.37292699,2.285814905,0.325496055,7.022557933,0.92638,2.806908443,405.1542241,0.296058031,0.010176402,0.186354716,0.065080363,3.886354873,0.046403395,3.800661094,0.478012023,
z2      ,x,65.48806316,0.055663664,65.63306925,0.990433886,70.92298597,36.27283711,3.314284956,0.213780443,15.50321866,0.532863895,1.614264972,960.0729418,0.170294053,0.01019928,0.078715183,0.06677356,1.55834386,0.047503878,1.523971789,0.452758425,
z3      ,x,65.58076225,0.128361429,65.76456029,1.95771463,72.45720257,70.9774264,1.325892296,0.139262781,9.520794301,1.035998224,3.139212412,528.8333627,0.331084946,0.010213806,0.196360344,0.066911715,3.074296853,0.047534467,2.984436648,0.481993718,
z4      ,,64.61591326,0.974801949,47.23956654,21.87644709,-766.3417871,1311.759778,0.712845546,0.980496061,0.727025405,0.589045532,1.784503181,62.5537175,0.188260273,0.010062616,1.52308547,0.047623103,47.39518835,0.034340046,46.56398994,0.557008389,
z5      ,x,65.53241602,0.097565707,65.31418237,1.176027481,57.32583019,43.31776833,4.086840441,0.261016731,15.65738882,0.676525088,2.04961335,934.8157879,0.216205014,0.01020623,0.147527847,0.066438586,1.859101195,0.047233386,1.815788064,0.327906467,
z7      ,x,65.42724153,0.161317854,63.1337499,3.462546286,-22.97943706,133.9246111,1.047012777,0.212893463,4.918012793,0.897235225,2.718563447,291.358233,0.286742056,0.010189748,0.247737656,0.064150974,5.656732863,0.045680818,5.530761659,0.524341701,
z8      ,,65.44361805,0.086097742,63.72096614,1.43363266,-0.515161763,54.58842521,1.443444691,0.126138612,11.44332153,0.713142149,2.160585792,682.6117494,0.227908575,0.010192315,0.130131938,0.064766572,2.321194193,0.04610756,2.263621758,0.463195747,
z9      ,,67.6869067,0.415368191,62.05255368,9.918044326,-150.2754717,400.7815956,1.164277096,0.707546775,1.645512547,0.722685627,2.189524209,114.0434504,0.230922497,0.010543917,0.618836922,0.063018452,16.47666104,0.043367044,16.14948598,0.542171317,
z11     ,x,65.78269782,0.127657054,65.56765784,2.79009199,57.72672641,102.4525325,0.689417492,0.112361826,6.135691437,0.971213964,2.9428184,352.5371509,0.310376755,0.010245452,0.194730549,0.06670484,4.394156612,0.047240959,4.296171482,0.519117762,
z13     ,x,65.50057052,0.088932965,64.67096129,2.025480499,34.07776293,75.83785417,4.552598849,0.552044678,8.246794204,0.958166812,2.903266021,468.987799,0.306213242,0.010201239,0.135559276,0.065763236,3.232776747,0.046775963,3.165906648,0.507957983,
,,,,,,,,,,,,,,,,,,,,,,
"RBCV2 N 22.85269¡, E 79.77158¡, 547m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,,65.80187639,0.755988148,60.44102507,18.46184912,-147.1109589,765.0391196,0.38049649,0.424937702,0.895417111,0.895628253,2.713694278,68.34807055,0.28622098,0.010248458,1.158507179,0.061332659,31.46335457,0.043423593,30.84725393,0.544994901,
z4      ,x,65.51013396,0.070415604,65.83033161,1.318296933,77.48457606,48.08057154,4.306815039,0.33601807,12.81721259,0.961485727,2.913327006,717.609749,0.307273703,0.010202738,0.106643896,0.066980826,2.068185303,0.04763501,2.023393719,0.438870476,
z5      ,x,65.64811504,0.119060769,65.4251563,2.681462855,57.27793425,98.7733527,2.779234807,0.448752625,6.193244681,0.916847547,2.778014292,360.0734645,0.293005302,0.010224361,0.181772964,0.066555146,4.231979435,0.047232175,4.141503363,0.513216958,
z6      ,x,65.55071932,0.148040088,64.93511709,3.251629094,42.30640591,120.9681024,1.528133832,0.302733894,5.047779139,0.873532349,2.646716327,299.9016245,0.279164571,0.010209098,0.226742203,0.066040535,5.169329642,0.046937039,5.05787612,0.507728692,
z7      ,,65.5984749,0.572037247,65.95535582,13.34919946,78.92190991,484.6600315,0.501663584,0.351210288,1.428385219,1.287883511,3.902921813,90.87333472,0.411582106,0.010216581,0.878616159,0.067112211,20.90421442,0.047663777,20.40570586,0.581600787,
z8      ,x,65.49985109,0.033466703,65.56426919,0.183996908,67.91597801,6.72445318,13.6193391,0.160517396,84.84649924,0.4558672,1.38096008,5278.627706,0.145687119,0.010201128,0.032742374,0.06670128,0.289793915,0.047443691,0.277820948,0.359424959,
z9      ,,65.78461314,0.124870835,63.65417526,1.924482228,-15.73753894,73.46999652,4.602775603,0.423548001,10.86718765,1.169742582,3.544699055,584.0420631,0.373821721,0.010245752,0.190457132,0.064696535,3.119096533,0.04581732,3.038298313,0.448387721,
z11     ,x,66.09464995,0.261254783,65.33224626,6.088843732,37.49530582,225.4102836,0.497442066,0.183872765,2.705360233,0.807051367,2.445212225,171.84017,0.257908685,0.010294341,0.39808859,0.066457558,9.62285881,0.046842309,9.416304392,0.533844576,
,,,,,,,,,,,,,,,,,,,,,,
"RBCW-Greenbole (N 23.19889¡, E 80.50556¡, 605m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,x,65.80389273,0.193432915,64.53061809,3.85919356,17.56046719,144.6951936,0.807102681,0.184209407,4.381441172,0.793972348,2.405568762,267.6686478,0.253734192,0.010248774,0.295530505,0.06561594,6.172456035,0.046454897,6.021644155,0.527722041,
z3      ,x,65.64029769,0.435326536,62.31535599,8.147418628,-63.62209089,320.3741109,0.318095628,0.150068665,2.119667204,0.750710217,2.274446328,140.5350972,0.239911413,0.010223136,0.668379731,0.063293619,13.47979853,0.044923112,13.12786285,0.544409546,
z5      ,,66.72213366,1.742584117,50.73584843,42.12554313,-652.5519989,2302.726082,0.186926362,0.483316784,0.386757441,0.786883932,2.384090145,40.78919041,0.25145282,0.010392688,2.634578279,0.051236616,85.12079026,0.035772279,83.75876349,0.528317962,
z7      ,,65.28037561,0.672016456,49.7369527,15.62095177,-648.2195933,868.6792671,0.357851089,0.345456678,1.035878337,0.740494414,2.243482014,78.75994366,0.236652623,0.010166734,1.03834717,0.050202957,32.18262905,0.035829596,31.62572087,0.547816578,
z8      ,,1666.115057,311.8371929,2201.528819,467.2034284,2745.5631,727.7106445,0.048932211,0.411327528,0.118961674,-0.021114611,-0.063982539,26.01416384,-0.006177983,0.294917966,21.22705495,7.742320497,51.95551917,0.190486399,44.30474731,0.538168612,
z10     ,,528.1479164,0.543083015,526.5210554,6.286003525,519.4735312,32.67850907,5.734507181,0.362639346,15.8132515,1.450345658,4.395058326,792.1260273,0.451746004,0.085367353,0.107108974,0.679580839,1.530046028,0.057762153,1.488537911,0.41402415,
z11     ,x,65.76358279,0.455435907,60.87316927,11.16443826,-127.4981461,457.7794843,1.58341278,1.086240766,1.457699646,0.865363855,2.621957671,100.1772584,0.276549961,0.010242457,0.698180528,0.061784455,18.89574888,0.043769254,18.52876401,0.538960202,
,,,,,,,,,,,,,,,,,,,,,,
"RBCW2 (N 23.19889¡, E 80.50556¡, 605m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,x,65.60696757,0.348102281,60.75557744,8.174097587,-126.4992838,335.3339232,0.701176322,0.326116598,2.150078612,1.103558033,3.34403417,132.3256738,0.352675101,0.010217912,0.534530951,0.061661496,13.86059629,0.043786918,13.57575029,0.546625696,
z2      ,,1498.89862,1.150093876,1501.968631,1.325656632,1506.302412,2.248574574,93.98254317,0.23466979,400.4884621,0.506394762,1.534512572,23837.18352,0.149555759,0.261760119,0.085988258,3.389493331,0.169075526,0.093955841,0.114534407,0.75025306,
z3      ,x,65.8866797,0.09852187,66.24057875,2.147951808,79.04278501,77.78593672,1.288869767,0.160606837,8.024999378,0.977549071,2.962023246,454.5787098,0.312399033,0.010261748,0.149591061,0.067412007,3.349572999,0.047665967,3.274803472,0.515532423,
z4      ,x,65.90668852,0.094411375,66.21824488,1.995755499,77.49056934,72.35206226,1.461666319,0.1766563,8.274068452,0.840115918,2.545429807,483.2359719,0.268478619,0.010264884,0.142826628,0.067388529,3.113249856,0.047634809,3.045030084,0.494168128,
z5      ,x,65.82343458,0.071751134,66.23297209,1.358621366,81.05302453,49.07981229,2.441455109,0.19120447,12.76881816,0.967139113,2.930465982,714.0030509,0.309073649,0.010251836,0.108246557,0.067404011,2.118905653,0.047706392,2.06683705,0.498368516,
z6      ,x,65.62927847,0.140913679,64.27838651,3.229717321,14.26514185,121.9376536,1.05939099,0.201135507,5.267051084,0.964863452,2.923566742,305.87034,0.308350591,0.010221409,0.215655665,0.065351263,5.185294691,0.04639121,5.071554581,0.541957561,
z7      ,x,65.86539227,0.079227494,65.97546606,1.665751667,69.96944793,60.74227619,2.297868648,0.24090233,9.538590363,0.713940588,2.163008527,571.3763391,0.228157003,0.010258412,0.118654977,0.067133346,2.607718696,0.047484365,2.552635216,0.480387735,
z8      ,x,66.13497908,0.040461407,66.16990314,0.645343411,67.43296349,23.46803749,8.077894538,0.320528622,25.20178848,0.797082805,2.41499837,1449.150625,0.254722324,0.010300662,0.057391255,0.067337713,1.007405838,0.047433558,0.985114571,0.403539413,
z9      ,x,65.88919611,0.112699977,65.62029472,2.303043579,55.82553203,84.4849258,1.127822607,0.147129891,7.665489328,1.093052286,3.312183364,424.0987775,0.349310779,0.010262142,0.171550557,0.066760139,3.624280434,0.047203229,3.541470995,0.500021603,
z10     ,,64.91308198,0.784231229,60.2873146,19.17966429,-119.7942833,792.4836137,0.524538097,0.608220686,0.862414103,0.954510129,2.8921787,65.82225995,0.305057213,0.010109178,1.218025352,0.061172004,32.76756457,0.043906552,32.1244616,0.541379686,
z12     ,x,65.66546538,0.40076873,62.27585102,9.737030815,-66.15805343,385.7043057,0.66414821,0.401412769,1.654526866,0.817197914,2.475963501,112.21608,0.261159039,0.01022708,0.615256522,0.063252251,16.11970024,0.044876275,15.79764697,0.537247784,
,,,,,,,,,,,,,,,,,,,,,,
"RBCX2 (N 22.70750¡, E 79.69407¡, 609m elevation)",,,,,,,,,,,,,,,,,,,,,,
z3      ,,967.5379094,0.370926773,968.3543764,0.773907921,970.2079107,2.3603565,33.03426716,0.161352572,204.7334403,0.671107098,2.033629943,11885.30466,0.204096928,0.161926687,0.041254293,1.595252482,0.12399654,0.071483117,0.111065125,0.361100194,
z6      ,,940.4663434,0.573814838,942.2467291,1.487588961,946.4103303,4.846225504,16.4921444,0.236750055,69.66057257,0.18586978,0.563225763,4592.190404,0.056610431,0.157057387,0.065273892,1.52937362,0.242299449,0.070655782,0.234357171,0.221270735,
,,,,,,,,,,,,,,,,,,,,,,
"RBCY (N 22.53154¡, E 79.58561¡, 600m elevation)",,,,,,,,,,,,,,,,,,,,,,
z2      ,x,65.7083212,0.45637324,66.2002956,5.91668328,84.0184892,213.2987366,0.346245026,0.115551011,2.99646902,0.84951759,2.57392575,186.452195,0.27148692,0.0102338,0.69908019,0.06736966,9.23206608,0.04776631,8.988541279,0.38153482,
z3      ,,65.6242564,1.41614005,61.8236389,31.07767338,-82.98487,1240.426927,0.648589206,1.225130257,0.52940428,0.85179587,2.58083091,48.2941506,0.2722166,0.01022062,2.17545429,0.06277882,51.81414045,0.04456869,50.64135402,0.553986561,
z4      ,x,66.1051967,0.2373128,64.4752344,5.49196698,4.38366029,207.3286849,0.935314639,0.300808947,3.10933118,1.01798864,3.08461638,186.087985,0.32531751,0.01029599,0.36144124,0.06555782,8.791248111,0.04620088,8.607180316,0.524318396,
z7      ,,869.673286,1.44159487,876.657735,2.94019166,894.337666,9.61978985,18.64094995,0.464575798,40.1246686,0.51111972,1.54881575,2440.74201,0.15627499,0.14442024,0.17719136,1.37115308,0.50074818,0.06888933,0.46485783,0.366211334,
,,,,,,,,,,,,,,,,,,,,,,
"RBCY2 (N 22.53154¡, E 79.58561¡, 600m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,,65.67624887,0.493748857,63.60314865,11.28150515,-13.73197712,433.0350119,0.54210938,0.368314178,1.471866718,0.894265515,2.709562897,100.2650496,0.285787993,0.01022877,0.757744743,0.064643031,18.29866635,0.045855431,17.915278,0.521326553,
