Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert
RBCV-B_z10,1646.001118,-11662.62232,581985.3736,35.48879654,0,-29.73345092,-28.91812764,-7.303790234,-45.61858812,-32.3962711,-15.44078151,-45.5650304,-16.41885455,-32.28329069,-67.41521252,-348.6150667,-56.96562853,-299.1362863,-128.9063876,-62044.00189,-1324.524661,-8188.996749,12.08035668,84.59439855,0.885345054,67.23238684,0.000662611,32.29943171,42.54842918,541.3960671,440.8985761,295.2384149,184.0502791,205.2430767,401.4213083,2683.577599,2683.577599,914.273762,1942.231308,2108.177567,686.0929103,79.6315492,34.44443854,19.84494073
RBCV-B_z12,1543.437046,-12264.30644,586348.7587,48.69911455,0,-31.06471298,-30.21288507,-7.630804374,-47.66107879,-33.84675618,-16.13211487,-47.60512312,-17.15397939,-36.05737021,-70.43360805,-364.2236826,-59.51616263,-326.3354774,-135.3677645,-65338.19089,-1383.827883,-8541.891099,8.401946683,4.575776159,0.034100626,517.103007,0.000457405,21.92172517,11.73384378,246.5498714,278.1768459,170.3313926,244.7731732,172.1044833,455.470056,206.5458174,131.7336871,117.0379695,1154.698072,132.8716616,188.8517891,2.020242278,98.90614666,20.91061352
RBCV2_z2,-15.81901404,883.6543293,485390.0581,2.822492025,0,0.298786412,26.42149416,0.094094467,1.254285966,2.312567708,1.093632679,11.51956142,4.206496772,54.57865625,24.81778975,137.706114,34.56754712,361.4237955,89.75769561,10352.49208,13.30992396,253.6105471,7.039000572,0.000640125,1.00257E-05,2.410556841,0.000529237,24.32297558,0.022314325,32.00894739,7.966090306,2.505101269,1.795553969,0.433869964,0.136546639,0.047649863,0.023047966,0.008921345,0.013836646,0.004310965,0.002987441,0.000190806,2.687662992,0.00208192
RBCV2_z3,-20.03109495,1002.676428,484973.4104,3.89945232,0,0.378860361,33.37467323,0.094313896,1.1702114,2.48024347,1.150428634,12.70604372,4.60109837,60.00021362,27.28925345,154.6811814,39.65584079,407.7721976,99.98718406,10516.60815,16.87694752,287.1869134,9.731685848,0.000776308,1.12137E-05,1.699833954,0.000461549,56.58433442,0.014663576,50.9388898,13.38656784,3.110567958,4.21596429,0.394649968,0.312269685,0.043336855,0.014312929,0.009497936,0.014274552,0.004936398,0.005522974,0.000178689,1.662448707,0.002313695
RBCV2_z10,55.94853022,-19348.40381,621234.355,-64.4335445,0,-58.27826573,-132.3496394,-13.83545299,-52.1788011,-30.80238259,-11.88921916,-77.62836844,-44.37148094,-130.7915349,-68.93430583,-174.1034374,-295.7638103,-289.9033254,-191.689961,-89157.11269,135.0905163,-13580.97545,6.335947518,53.40274431,0.518141851,14.25576215,0.000570079,3.820302522,2.051411514,20.17935753,40.78835316,265.9955061,359.9660445,386.0216476,513.6978358,3227.473213,729.5073201,942.8056475,1227.684288,740.6279907,492.9021872,22.36171892,37.51109998,57.56595171
RBCW-1-Bentonite_z1,-576.0138306,-5663.125798,539699.9472,35.87691099,0,-17.1899798,-21.30887862,-9.993804468,-37.37997866,-24.75924425,-15.85685883,-17.59083004,-29.66092712,-68.76643998,-63.96114997,-266.6454153,-49.54719263,-242.1306418,-169.9907723,-31351.1493,3.491355934,-4044.258264,3.663671553,141.2979565,5.162572508,144.4636216,0.000572263,9.300540442,5.025172607,19.55374892,27.50578252,244.7863372,325.5400654,339.881454,433.5469219,1435.833122,7499.398422,1197.629379,1936.07868,942.8052704,989.4332323,107.4486817,36.96478554,25.12231607
RBCW-1-Bentonite_z2,-59.81371733,-5713.771765,540215.5038,36.69985694,0,-22.81494941,-39.96578327,-10.91933043,-38.67780828,-24.98066894,-15.99866849,-17.7481468,-29.62785473,-69.38142594,-64.53316169,-269.0300551,-49.99029872,-244.2960433,-171.5110187,-31751.45405,6.634495628,-4078.137108,4.773220254,130.1245718,0.097359137,115.8702864,0.000388887,4.578976054,3.17855054,22.15482415,40.77431598,224.0670105,557.7727799,228.5427678,821.8388003,1920.725323,2683.576529,1377.440526,1613.734185,609.8031702,5367.155105,4.538846055,107.8780466,26.94951172
RBCW-2-Bentonite_z1,-92.67767337,-5644.745377,539543.6231,28.15664191,0,-36.67465529,-56.09286684,-17.59892086,-65.08670971,-27.76179243,-15.94741692,-17.81989528,-29.33382895,-68.396514,-63.61707383,-265.2110082,-49.28065573,-240.8281109,-169.0763145,-31145.28825,6.626914672,-4019.647308,3.176394726,27.39191101,7.455298195,49.98951591,0.000549252,1.93812869,1.167188938,11.48475237,12.17394573,77.60455638,175.6828721,217.858249,441.8626214,804.9051347,598.8692465,487.1416031,3227.473213,1680.141448,1197.626734,199.1842393,82.78755002,36.55278813
RBCW-2-Bentonite_z2,-301.5286482,-5651.200672,539614.3318,32.43337896,0,-31.84970527,-51.87364916,-11.21462855,-39.91097624,-24.68079109,-15.80661414,-17.53509101,-29.27219022,-68.54854381,-63.75848004,-265.8005116,-49.39019536,-241.3634167,-169.4521325,-31236.22682,8.55329099,-4041.434034,3.246092758,31.78744222,0.36425757,79.53593209,0.000713708,2.723399749,0.772398579,17.97085048,29.81399899,153.6621257,269.7740204,312.4611928,609.8031883,492.9019994,740.6277676,788.3936747,3887.282421,15811.32505,909.5045178,40.75885553,204.9971429,9.198698643
RBCW-2-Bentonite_z3,-446.0669974,22824.1931,338537.2182,-93.85733472,0,45.91532081,51.49763023,20.05834915,90.96716524,91.47160964,48.51861023,232.4015527,142.9886451,932.9586188,429.7875283,1886.869479,361.1005036,2465.700818,797.7928306,117619.0855,-16.53874217,11177.87055,9.703424793,0.015084922,0.000634328,67.23913982,0.000791749,13.96658064,3.86371205,65.26672235,55.66664098,40.6073454,131.4457407,10.22680965,4.150073387,1.585167176,0.933914459,0.767582033,1.307340794,0.360465813,0.82152185,0.014329358,85.65329302,1.817207618
