Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert,,ZrHf,ZrHf_uncert
STD_ZrHf_2_03,1943.578785,384.3759927,485796.1634,0.088974995,0,1.949268889,1.144424835,0.317413219,1.500847756,1.065834625,0.508000428,1.499085711,0.540178949,1.062117579,2.217954886,11.4694067,1.874164442,9.841558943,4.265781957,11112.77837,44.17600368,269.1612551,2.397250723,29.60751401,1.913339381,27.42133935,2.40004511,4.598175765,8.820901265,14.82480516,10.77832999,23.285306,32.80022025,22.64279809,59.61548032,86.06629658,71.14751939,90.35079031,153.6590742,76.57804862,67.02600915,2.884271461,11.05502573,29.28184471,,,
STD_ZrHf_2_04,1969.574188,385.3859666,485712.4616,0.263700462,0,1.867398724,1.178262936,0.302046876,1.50399449,1.068069294,0.50906552,1.502228751,0.541311509,1.064344455,2.222605134,11.4934539,1.878093885,9.862193127,4.254550691,11194.71385,44.0977826,269.8294378,1.542906524,26.35255206,1.060856796,15.31119502,0.812744488,3.186343345,9.672455185,17.42481848,15.94200526,24.43515403,32.47638407,29.94554529,60.36928985,161.0152972,120.5401824,84.98368733,62.31477003,107.0436941,49.15759641,1.441978818,10.8982659,31.26358372,,,
STD_ZrHf_2_05,1986.950351,381.8584912,485919.2337,0.546470804,0,1.918956707,1.130606585,0.33130551,1.48679146,1.055852476,0.503242714,1.485045918,0.535119865,1.052170242,2.197182473,11.36198917,1.873862261,10.04615642,4.325189505,10994.17617,43.58865832,267.2929974,1.926178159,95.25590702,2.858756189,12.63512334,2.737140869,4.79658251,9.664465192,13.1000349,22.24879846,15.92658298,40.28124182,41.33783623,60.69268986,98.33787842,79.35619498,47.80918263,120.6407724,84.40117597,49.60177502,2.286836807,12.17504091,49.85792955,,,
STD_ZrHf_2_07,1815.314232,321.3742432,487835.1713,0.086550535,0,1.422958661,0.887361022,0.22071322,1.254738503,0.891058895,0.424698437,1.253265399,0.45160032,0.88795137,1.854254293,9.588651577,1.56683866,8.227738549,3.545568034,9195.454199,36.43102864,225.0053186,2.334532436,31.945928,2.24309149,31.36672978,1.583598924,6.858896071,10.18478736,13.78845825,11.60745353,33.39231924,39.60537799,32.27647128,60.60724957,135.5262046,96.28205416,111.9524313,57.35623782,84.3686726,85.4274179,1.709013947,15.60511458,26.92913417,,,
STD_ZrHf_2_08,1807.063144,322.7362714,487710.8231,0.205452176,0,1.455946884,0.798743441,0.201736939,1.260024456,0.894812741,0.426487604,1.258545146,0.453502818,0.891692125,1.862065881,9.629046578,1.573439426,8.262400306,3.560504777,9317.188684,36.58450501,225.9330393,1.763846014,30.15696063,1.493313451,18.49896628,1.419367704,4.673349157,10.39768003,19.18834531,16.4468512,29.19772777,34.55802244,31.40555837,109.9944504,93.77205314,89.9627012,38.8350422,83.84226326,114.8670729,59.57683422,1.369202658,25.74771665,23.60236258,,,
STD_ZrHf_2_09,1818.774587,323.7127007,487755.264,0.086716634,0,1.435870378,0.830437709,0.207489037,1.264231179,0.897800166,0.427911477,1.26274693,0.455016884,0.894669132,1.868282581,9.661194148,1.578692517,8.289985186,3.573848719,9270.947257,36.70664617,226.6345398,1.800740601,24.64685461,1.408178291,33.3136812,1.648863683,6.912860042,8.91792415,18.98926958,31.19368175,35.30332369,29.88028514,16.28274429,50.77186776,178.8093943,54.16034427,73.60585928,117.8105377,70.41793831,43.70039846,1.17386752,20.59003641,17.62791458,,,
STD_ZrHf_2_10,1787.918057,321.0578011,487662.5178,0.278720163,0,1.436676974,0.791160244,0.199821667,1.248061899,0.886317471,0.422438569,1.246596633,0.449197304,0.883226482,1.844387598,9.629945395,1.563136325,8.853665102,3.75666664,9368.841715,36.23717506,223.8555201,1.4084796,129.3166475,3.105782559,28.81333617,1.009157239,6.177597169,7.077865506,17.57256542,17.50342775,32.66168156,48.20683173,35.85898814,52.70486431,120.1851091,88.7683131,103.365383,88.03614196,168.8952479,149.0467031,2.110831822,16.45005913,39.42349264,,,
STD_ZrHf_3_01,1996.941283,487.8976823,485278.5899,1.056651167,0,1.866774024,1.895443966,0.578859758,1.960871387,0.771390744,0.297744292,1.944064057,1.107873227,3.275440757,1.726336762,4.36011012,7.451770566,7.260111813,4.869882213,11501.31751,-3.024549056,340.7961327,6.082794937,25.13775693,3.092055388,30.81852698,3.353320424,10.22734853,9.623788805,10.92238245,14.68313397,20.58123161,30.84327994,44.4330001,84.36861604,90.40264441,120.5401824,78.17372109,46.74639702,46.9453914,59.536184,2.596663292,8.948693863,37.54644713,,,
STD_ZrHf_3_02,2150.127341,490.5185533,485166.2013,1.220457702,0,1.880353383,1.752914722,0.58913119,2.064523827,0.776026642,0.299533674,1.955747478,1.124649009,3.295125475,1.736711688,4.441970913,7.475345832,7.303743576,4.876868439,11608.77096,-2.942692928,342.6588063,11.53958094,13.06800932,1.277026848,33.48435588,1.935787514,4.25581003,9.838935681,7.330693638,15.13553992,34.10536392,34.12294646,37.26566566,90.9214322,97.28839368,69.00655593,94.09666232,46.35809174,98.60132972,36.33185598,1.861024035,19.86793969,33.75154043,,,
STD_ZrHf_3_03,2074.557845,481.9316665,485474.3233,0.904289875,0,1.7996737,1.911871912,0.51968551,1.734376889,0.763009592,0.294509304,1.922941823,1.095836197,3.23985313,1.707580133,4.362691269,7.32640157,7.18123078,4.748469771,11316.27236,-2.837012919,336.7972665,10.58639338,22.06986943,2.852314761,21.78291993,3.159770694,8.329819801,10.41432331,14.88853382,9.219745256,28.81295013,43.78239647,25.38335671,97.7244064,115.4701001,87.90791814,104.7495123,94.28090416,149.0715563,64.54989887,3.363685047,16.34783161,60.23303645,,,
STD_ZrHf_3_04,2142.027894,475.0176332,485714.1431,1.315588413,0,1.970577518,2.135470147,0.527603624,1.959795404,0.745416048,0.287718482,1.878602458,1.070568308,3.165148306,1.728055469,4.594672503,7.308362462,8.31460097,4.952406074,11087.06571,-2.654804248,330.4737224,3.743017353,96.6618471,5.477797239,23.76288179,2.819249052,2.993441121,10.522613,16.913221,10.9192258,32.73190973,38.61718759,45.58933571,54.42027517,116.1674115,149.6343479,115.708884,129.7742525,183.3180648,141.0120664,4.108651287,29.27599824,125.5328535,,,
STD_ZrHf_3_05,2020.172483,476.7349273,485703.4845,1.530297049,0,1.580294594,1.285206333,0.45977296,1.623962028,0.746085349,0.287976821,1.880289233,1.075142555,3.167990255,1.751769578,5.04164435,7.338391369,8.811863953,5.143666846,11096.60741,-2.874548835,330.3233592,15.66166306,137.3823786,6.739451932,29.67214624,1.91589909,10.96887163,8.648071195,11.03465105,15.1823852,39.001687,28.56264504,31.1436649,82.73118926,176.1666598,128.9083873,111.3584198,143.9415733,190.8134753,135.9145902,4.672625176,36.86473343,138.9583656,,,
STD_ZrHf_3_06,1954.84061,480.1364612,485637.6833,1.043704114,0,1.619869276,1.2869164,0.474894599,1.72537091,0.75995875,0.293331729,1.91525307,1.091454571,3.226898797,1.70075249,4.295493384,7.29710745,7.152517116,4.729389445,11157.02622,-2.934866887,335.4759938,27.2288674,21.24978789,1.561692935,31.29966904,1.761823776,5.918305447,7.827839626,15.13180244,10.67706487,24.03839107,38.95794726,31.58286416,79.59954871,114.9565305,90.26712838,85.33143353,84.36866747,83.41985655,50.60403052,1.920333432,24.73802916,23.8573402,,,
STD_ZrHf_3_07,1859.188339,480.0963446,485671.9847,1.022241566,0,1.585344143,1.296306267,0.429517759,1.698036921,0.760131816,0.293398529,1.915689232,1.091703128,3.22763366,1.701139803,4.296471599,7.298769224,7.154145962,4.730466471,11122.69952,-2.897712884,335.6161748,29.35672412,15.51360759,1.767432382,29.0306967,1.226652255,9.112853793,7.721065166,12.88117973,12.7027506,30.87165375,34.51158298,31.79653713,111.0243225,124.5746763,80.10474157,91.28715376,72.00830682,58.15192062,46.40071933,2.17825876,24.34220942,37.05621285,,,
STD_ZrHf_3_08,2131.750064,474.1974669,485757.0596,1.031767189,0,1.601943317,1.30592917,0.448371194,1.481964534,0.749185498,0.289173428,1.88810225,1.075982,3.181153954,1.676642451,4.352567048,7.26488175,7.195506887,4.72042144,11048.36397,-2.61069028,330.7260361,2.463667156,59.49029085,3.462144691,27.16353286,1.28490752,7.560323569,10.88521814,9.883087721,7.917646049,51.19495885,16.21474116,46.05871618,87.90815892,96.25835943,75.95873424,96.73026213,89.19262324,107.2910167,70.02618875,2.498610568,11.84381183,58.84709702,,,
